OBJECTID,YEAR2040,SHAPE_Area,lon,lat
5890,0,5864134.727,-112.0920023,40.80933102
5891,0,3760037.861,-112.0739055,40.81456902
6509,0,9633584.439,-112.0450562,40.81096905
6510,0,7304122.477,-112.0368394,40.79018905
6511,0,5893134.001,-112.0122555,40.77687297
6512,0,3201378.549,-112.0944507,40.79006984
6513,0,3777725.907,-112.0768476,40.78127172
6514,0,2615007.041,-112.058515,40.8040695
6515,0,2937936.439,-112.0605861,40.78901108
6520,0,3883850.43,-112.0784245,40.76725687
6521,0,4780294.302,-112.0509412,40.75722765
6524,0,5762067.533,-112.0475147,40.74562599
6525,0,2805432.628,-112.0548742,40.73025231
6535,4,5002849.523,-112.042325,40.73456276
6577,746,3486839.768,-111.9445435,40.81848893
6578,0,1385988.189,-111.9916105,40.76902632
6579,0,14428345.38,-111.9785992,40.78110594
6580,17,4971185.54,-111.9548036,40.79911448
6581,0,1870218.999,-111.9784279,40.76791277
6582,0,825738.7029,-111.9556632,40.76733727
6583,338,921091.3827,-111.9373135,40.80029045
6584,1482,1051010.386,-111.9341001,40.77431956
6585,1488,524294.4284,-111.9378063,40.7859932
6586,179,1373699.091,-111.9269565,40.80074056
6587,1345,904232.14,-111.9212301,40.79415548
6588,2067,1477236.981,-111.9307544,40.78679907
6589,1776,783376.7233,-111.944594,40.78228424
6590,446,986625.649,-111.9445814,40.76868041
6591,3724,1792053.809,-111.9191493,40.78644493
6592,1457,1296667.03,-111.9311621,40.77924904
6593,2695,1610631.939,-111.9178887,40.77911683
6594,84,491222.7485,-111.9231904,40.77374442
6595,1247,1251414.562,-111.9323461,40.76856531
6596,677,694750.3618,-111.9229467,40.76822808
6597,252,325088.8594,-111.9145247,40.76731882
6598,267,215192.038,-111.9138531,40.77047205
6599,342,306372.1645,-111.9182726,40.76826771
6600,0,4914470.383,-112.0330583,40.7614334
6601,2,1136010.17,-112.0281086,40.74640355
6602,0,6829747.801,-112.0013809,40.76090132
6603,0,1866030.715,-112.0149455,40.75034028
6604,5,2203180.447,-112.0153849,40.74378089
6605,0,2954332.725,-111.9969405,40.74709784
6606,4,1888882.883,-111.9550952,40.75965104
6607,2,1292493.79,-111.961717,40.7523762
6608,2,4233293.513,-111.9772264,40.74738816
6609,0,2908641.028,-111.9580816,40.74528132
6610,0,1778771.763,-111.9441211,40.74592632
6611,3821,1405091.73,-111.9340774,40.75388758
6612,1372,1024237.89,-111.9196262,40.76218456
6613,1756,1036058.753,-111.9258005,40.75385983
6614,819,954431.9592,-111.9175713,40.74551902
6615,2328,1709262.757,-111.9166601,40.75445063
6616,369,381484.3014,-111.9125377,40.74568206
6617,0,746595.1792,-111.9080442,40.7450098
6618,2223,1286985.305,-111.9248624,40.7448891
6619,3243,1843247.971,-111.9312354,40.73689337
6620,1420,1491660.913,-111.9170544,40.73722651
6621,0,903520.6557,-111.9077445,40.73761498
6622,54,2341609.602,-111.9168005,40.72897527
6625,0,1299676.438,-112.0277133,40.73266113
6632,0,2597821.179,-111.9637158,40.73385007
6635,6,2896943.28,-111.9444206,40.73231445
6653,0,535791.9321,-111.9064284,40.72944833
6720,2639,152510.3481,-111.9086953,40.77052055
6721,2702,285279.8644,-111.9103035,40.76700192
6722,0,400144.95,-111.9110757,40.76276869
6723,2819,203587.3163,-111.9068301,40.76282361
6724,3361,248659.9235,-111.9067242,40.76769815
6725,1425,203880.2719,-111.9039685,40.76936059
6726,349,102993.2957,-111.9011163,40.77045035
6727,405,102960.4908,-111.898256,40.77045242
6728,0,101628.6913,-111.9011137,40.7682634
6729,0,101788.5496,-111.8982552,40.76826409
6730,0,203328.224,-111.8953957,40.76717842
6731,1915,101639.6312,-111.9039721,40.76608851
6732,1239,101788.9719,-111.9011133,40.76608915
6733,1823,101689.052,-111.8982546,40.7660893
6734,2458,203616.8541,-111.9039711,40.76282574
6735,1398,101772.5545,-111.9011123,40.76391363
6736,1317,101754.5816,-111.8982529,40.76391495
6737,1035,101890.8624,-111.8953935,40.76391634
6738,0,101775.8066,-111.9011109,40.7617386
6739,1185,101695.1894,-111.8982519,40.76173958
6740,1053,101711.0624,-111.8953929,40.76174104
6741,312,102983.1748,-111.8953978,40.77045312
6742,0,206350.009,-111.8911037,40.77045354
6743,1057,101707.4091,-111.892537,40.76826654
6744,385,101909.0413,-111.8896731,40.76826687
6745,531,101798.9788,-111.8868098,40.76826805
6746,2641,499963.8743,-111.8834633,40.77104678
6747,679,101798.1428,-111.8925351,40.76609266
6748,157,101918.3047,-111.8896726,40.76609371
6749,461,101717.4608,-111.8868078,40.76609463
6750,798,101771.4653,-111.892534,40.76391716
6751,83,102022.3131,-111.8896709,40.76391947
6752,296,101802.4755,-111.8868072,40.76392069
6753,843,101795.0582,-111.8925325,40.76174128
6754,327,102018.9171,-111.8896694,40.76174431
6755,225,101771.3999,-111.8868064,40.76174568
6756,557,101646.6239,-111.8925308,40.75956844
