index,value
"(0, 53)",1904.0
"(1, 50)",1.0
"(1, 52)",416.0
"(1, 53)",922.0
"(1, 54)",1400.0
"(1, 55)",1688.0
"(1, 57)",823.0
"(2, 50)",883.0
"(2, 51)",2743.0
"(2, 53)",1451.0
"(2, 54)",499.0
"(2, 55)",1699.0
"(2, 57)",911.0
"(2, 59)",442.0
"(3, 50)",1194.0
"(3, 51)",979.0
"(3, 53)",396.0
"(3, 54)",1376.0
"(3, 55)",13.0
"(3, 58)",1299.0
"(3, 61)",1753.0
"(3, 63)",1465.0
"(4, 50)",645.0
"(4, 51)",1631.0
"(4, 53)",2919.0
"(4, 54)",2375.0
"(4, 62)",1923.0
"(5, 14)",0.0
"(5, 36)",6.0
"(5, 38)",1.0
"(5, 40)",0.0
"(5, 42)",54.0
"(5, 44)",0.0
"(5, 45)",2.0
"(5, 46)",1780.0
"(5, 47)",2216.0
"(5, 48)",1917.0
"(5, 49)",1405.0
"(5, 50)",1442.0
"(5, 51)",1497.0
"(5, 53)",929.0
"(5, 54)",492.0
"(5, 55)",1181.0
"(5, 56)",1155.0
"(5, 57)",1186.0
"(5, 58)",1019.0
"(5, 59)",1197.0
"(5, 61)",1109.0
"(5, 62)",698.0
"(6, 17)",4.0
"(6, 20)",0.0
"(6, 22)",0.0
"(6, 26)",0.0
"(6, 29)",0.0
"(6, 32)",0.0
"(6, 34)",0.0
"(6, 39)",3243.0
"(6, 42)",1420.0
"(6, 44)",0.0
"(6, 45)",113.0
"(6, 46)",1643.0
"(6, 47)",2460.0
"(6, 48)",1602.0
"(6, 49)",1559.0
"(6, 50)",1183.0
"(6, 51)",1199.0
"(6, 53)",1309.0
"(6, 54)",1269.0
"(6, 55)",1224.0
"(6, 56)",1101.0
"(6, 57)",748.0
"(6, 58)",863.0
"(6, 60)",1076.0
"(6, 63)",316.0
"(7, 61)",1074.0
"(7, 63)",639.0
"(8, 16)",0.0
"(8, 19)",2.0
"(8, 22)",5.0
"(8, 26)",0.0
"(8, 30)",2.0
"(8, 33)",0.0
"(8, 36)",0.0
"(8, 38)",2228.0
"(8, 40)",2223.0
"(8, 42)",819.0
"(8, 43)",369.0
"(8, 45)",117.0
"(8, 46)",1201.0
"(8, 47)",2503.0
"(8, 48)",2164.0
"(8, 49)",1342.0
"(8, 50)",0.0
"(8, 51)",1425.0
"(8, 53)",1343.0
"(8, 54)",1040.0
"(8, 55)",445.0
"(8, 56)",746.0
"(8, 57)",1244.0
"(8, 58)",1261.0
"(8, 61)",769.0
"(8, 64)",1923.0
"(9, 22)",0.0
"(9, 33)",2.0
