index,value,row,col
"(0, 53)",1904,0,53
"(1, 50)",1,1,50
"(1, 52)",416,1,52
"(1, 53)",922,1,53
"(1, 54)",1400,1,54
"(1, 55)",1688,1,55
"(1, 57)",823,1,57
"(2, 50)",883,2,50
"(2, 51)",2743,2,51
"(2, 53)",1451,2,53
"(2, 54)",499,2,54
"(2, 55)",1699,2,55
"(2, 57)",911,2,57
"(2, 59)",442,2,59
"(3, 50)",1194,3,50
"(3, 51)",979,3,51
"(3, 53)",396,3,53
"(3, 54)",1376,3,54
"(3, 55)",13,3,55
"(3, 58)",1299,3,58
"(3, 61)",1753,3,61
"(3, 63)",1465,3,63
"(4, 50)",645,4,50
"(4, 51)",1631,4,51
"(4, 53)",2919,4,53
"(4, 54)",2375,4,54
"(4, 62)",1923,4,62
"(5, 14)",0,5,14
"(5, 36)",6,5,36
"(5, 38)",1,5,38
"(5, 40)",0,5,40
"(5, 42)",54,5,42
"(5, 44)",0,5,44
"(5, 45)",2,5,45
"(5, 46)",1780,5,46
"(5, 47)",2216,5,47
"(5, 48)",1917,5,48
"(5, 49)",1405,5,49
"(5, 50)",1442,5,50
"(5, 51)",1497,5,51
"(5, 53)",929,5,53
"(5, 54)",492,5,54
"(5, 55)",1181,5,55
"(5, 56)",1155,5,56
"(5, 57)",1186,5,57
"(5, 58)",1019,5,58
"(5, 59)",1197,5,59
"(5, 61)",1109,5,61
"(5, 62)",698,5,62
"(6, 17)",4,6,17
"(6, 20)",0,6,20
"(6, 22)",0,6,22
"(6, 26)",0,6,26
"(6, 29)",0,6,29
"(6, 32)",0,6,32
"(6, 34)",0,6,34
"(6, 39)",3243,6,39
"(6, 42)",1420,6,42
"(6, 44)",0,6,44
"(6, 45)",113,6,45
"(6, 46)",1643,6,46
"(6, 47)",2460,6,47
"(6, 48)",1602,6,48
"(6, 49)",1559,6,49
"(6, 50)",1183,6,50
"(6, 51)",1199,6,51
"(6, 53)",1309,6,53
"(6, 54)",1269,6,54
"(6, 55)",1224,6,55
"(6, 56)",1101,6,56
"(6, 57)",748,6,57
"(6, 58)",863,6,58
"(6, 60)",1076,6,60
"(6, 63)",316,6,63
"(7, 61)",1074,7,61
"(7, 63)",639,7,63
"(8, 16)",0,8,16
"(8, 19)",2,8,19
"(8, 22)",5,8,22
"(8, 26)",0,8,26
"(8, 30)",2,8,30
"(8, 33)",0,8,33
"(8, 36)",0,8,36
"(8, 38)",2228,8,38
"(8, 40)",2223,8,40
"(8, 42)",819,8,42
"(8, 43)",369,8,43
"(8, 45)",117,8,45
"(8, 46)",1201,8,46
"(8, 47)",2503,8,47
"(8, 48)",2164,8,48
"(8, 49)",1342,8,49
"(8, 50)",0,8,50
"(8, 51)",1425,8,51
"(8, 53)",1343,8,53
"(8, 54)",1040,8,54
