index,value
"(0, 50)",6700.0
"(0, 51)",45500.0
"(0, 52)",11500.0
"(0, 54)",23500.0
"(0, 55)",22000.0
"(0, 56)",4800.0
"(0, 58)",13000.0
"(0, 60)",22500.0
"(1, 54)",40000.0
"(1, 59)",2800.0
"(1, 61)",99500.0
"(1, 62)",5100.0
"(2, 49)",12500.0
"(2, 50)",11500.0
"(2, 51)",52500.0
"(2, 53)",10500.0
"(2, 54)",43800.0
"(2, 55)",13500.0
"(2, 57)",8100.0
"(2, 58)",137000.0
"(2, 62)",58000.0
"(2, 63)",30000.0
"(3, 44)",355000.0
"(3, 45)",18500.0
"(3, 46)",9200.0
"(3, 47)",52500.0
"(3, 49)",164000.0
"(3, 50)",7500.0
"(3, 51)",56500.0
"(3, 52)",10500.0
"(3, 53)",148000.0
"(3, 54)",73500.0
"(3, 57)",13000.0
"(3, 59)",10500.0
"(3, 62)",13000.0
"(3, 63)",44000.0
"(4, 24)",4700.0
"(4, 37)",36500.0
"(4, 39)",7600.0
"(4, 42)",35500.0
"(4, 43)",15500.0
"(4, 45)",16000.0
"(4, 46)",31500.0
"(4, 47)",60000.0
"(4, 48)",24500.0
"(4, 49)",25000.0
"(4, 50)",23500.0
"(4, 51)",37000.0
"(4, 53)",30000.0
"(4, 54)",25000.0
"(4, 55)",27000.0
"(4, 56)",27000.0
"(4, 57)",29900.0
"(4, 58)",20500.0
"(4, 60)",16500.0
"(4, 61)",13000.0
"(5, 12)",21000.0
"(5, 33)",14500.0
"(5, 37)",40000.0
"(5, 42)",17000.0
"(5, 45)",20500.0
"(5, 46)",7400.0
"(5, 47)",49000.0
"(5, 49)",4600.0
"(5, 50)",9600.0
"(5, 51)",52000.0
"(5, 52)",13000.0
"(5, 53)",16500.0
"(5, 54)",33500.0
"(5, 55)",7700.0
"(5, 57)",2600.0
"(5, 58)",5100.0
"(5, 59)",10500.0
"(5, 60)",10500.0
"(5, 62)",44000.0
"(6, 19)",61000.0
"(6, 20)",17500.0
"(6, 27)",98000.0
"(6, 31)",11000.0
"(6, 33)",15000.0
"(6, 35)",133000.0
"(6, 37)",36500.0
"(6, 39)",18000.0
"(6, 42)",27000.0
"(6, 44)",353000.0
"(6, 45)",23000.0
"(6, 46)",25000.0
"(6, 47)",83000.0
"(6, 48)",13500.0
"(6, 49)",19200.0
"(6, 50)",20500.0
"(6, 51)",67000.0
"(6, 52)",13500.0
"(6, 53)",19500.0
"(6, 54)",34500.0
"(6, 55)",17200.0
"(6, 57)",6800.0
"(6, 58)",12900.0
"(6, 59)",16700.0
"(6, 60)",10000.0
"(6, 61)",47900.0
"(7, 16)",17500.0
"(7, 20)",30000.0
"(7, 22)",17000.0
"(7, 26)",18000.0
"(7, 30)",27000.0
"(7, 32)",20500.0
"(7, 34)",27500.0
"(7, 36)",29500.0
"(7, 39)",10500.0
"(7, 43)",20000.0
"(7, 45)",35000.0
"(7, 46)",20000.0
"(7, 47)",40000.0
"(7, 48)",16500.0
"(7, 49)",17000.0
"(7, 50)",14500.0
"(7, 51)",11500.0
"(7, 53)",13000.0
"(7, 54)",10000.0
"(7, 55)",9600.0
"(7, 57)",8400.0
"(7, 58)",7400.0
"(7, 59)",8100.0
"(7, 60)",54300.0
"(8, 20)",28500.0
"(8, 24)",5900.0
"(8, 28)",31000.0
"(8, 31)",9900.0
"(8, 33)",10500.0
"(8, 37)",26500.0
"(8, 42)",16500.0
"(8, 44)",291500.0
"(8, 45)",28000.0
"(8, 46)",9000.0
"(8, 47)",47000.0
"(8, 49)",4100.0
"(8, 50)",6900.0
"(8, 51)",49500.0
"(8, 52)",14000.0
"(8, 53)",5500.0
"(8, 54)",24000.0
"(8, 55)",8600.0
"(8, 58)",5000.0
"(8, 59)",50800.0
"(9, 12)",17000.0
"(9, 35)",7100.0
"(9, 39)",13000.0
"(9, 42)",27000.0
"(9, 43)",303500.0
"(9, 44)",28000.0
"(9, 45)",46500.0
"(9, 46)",70500.0
"(9, 47)",155500.0
"(9, 48)",39500.0
"(9, 49)",43100.0
"(9, 50)",41500.0
"(9, 51)",79500.0
"(9, 52)",15000.0
"(9, 53)",31100.0
"(9, 54)",35000.0
"(9, 55)",23900.0
"(9, 56)",6400.0
"(9, 57)",18000.0
"(9, 58)",22500.0
"(9, 59)",45000.0
"(9, 61)",4800.0
"(9, 64)",5100.0
"(9, 65)",0.0
"(10, 16)",13500.0
"(10, 18)",41000.0
"(10, 22)",4700.0
"(10, 28)",78500.0
"(10, 31)",10500.0
