index,value,row,col
"(0, 50)",6700,0,50
"(0, 51)",45500,0,51
"(0, 52)",11500,0,52
"(0, 54)",23500,0,54
"(0, 55)",22000,0,55
"(0, 56)",4800,0,56
"(0, 58)",13000,0,58
"(0, 60)",22500,0,60
"(1, 54)",40000,1,54
"(1, 59)",2800,1,59
"(1, 61)",99500,1,61
"(1, 62)",5100,1,62
"(2, 49)",12500,2,49
"(2, 50)",11500,2,50
"(2, 51)",52500,2,51
"(2, 53)",10500,2,53
"(2, 54)",43800,2,54
"(2, 55)",13500,2,55
"(2, 57)",8100,2,57
"(2, 58)",137000,2,58
"(2, 62)",58000,2,62
"(2, 63)",30000,2,63
"(3, 44)",355000,3,44
"(3, 45)",18500,3,45
"(3, 46)",9200,3,46
"(3, 47)",52500,3,47
"(3, 49)",164000,3,49
"(3, 50)",7500,3,50
"(3, 51)",56500,3,51
"(3, 52)",10500,3,52
"(3, 53)",148000,3,53
"(3, 54)",73500,3,54
"(3, 57)",13000,3,57
"(3, 59)",10500,3,59
"(3, 62)",13000,3,62
"(3, 63)",44000,3,63
"(4, 24)",4700,4,24
"(4, 37)",36500,4,37
"(4, 39)",7600,4,39
"(4, 42)",35500,4,42
"(4, 43)",15500,4,43
"(4, 45)",16000,4,45
"(4, 46)",31500,4,46
"(4, 47)",60000,4,47
"(4, 48)",24500,4,48
"(4, 49)",25000,4,49
"(4, 50)",23500,4,50
"(4, 51)",37000,4,51
"(4, 53)",30000,4,53
"(4, 54)",25000,4,54
"(4, 55)",27000,4,55
"(4, 56)",27000,4,56
"(4, 57)",29900,4,57
"(4, 58)",20500,4,58
"(4, 60)",16500,4,60
"(4, 61)",13000,4,61
"(5, 12)",21000,5,12
"(5, 33)",14500,5,33
"(5, 37)",40000,5,37
"(5, 42)",17000,5,42
"(5, 45)",20500,5,45
"(5, 46)",7400,5,46
"(5, 47)",49000,5,47
"(5, 49)",4600,5,49
"(5, 50)",9600,5,50
"(5, 51)",52000,5,51
"(5, 52)",13000,5,52
"(5, 53)",16500,5,53
"(5, 54)",33500,5,54
"(5, 55)",7700,5,55
"(5, 57)",2600,5,57
"(5, 58)",5100,5,58
"(5, 59)",10500,5,59
"(5, 60)",10500,5,60
"(5, 62)",44000,5,62
"(6, 19)",61000,6,19
"(6, 20)",17500,6,20
"(6, 27)",98000,6,27
"(6, 31)",11000,6,31
"(6, 33)",15000,6,33
"(6, 35)",133000,6,35
"(6, 37)",36500,6,37
"(6, 39)",18000,6,39
"(6, 42)",27000,6,42
"(6, 44)",353000,6,44
"(6, 45)",23000,6,45
"(6, 46)",25000,6,46
"(6, 47)",83000,6,47
"(6, 48)",13500,6,48
"(6, 49)",19200,6,49
"(6, 50)",20500,6,50
"(6, 51)",67000,6,51
"(6, 52)",13500,6,52
"(6, 53)",19500,6,53
"(6, 54)",34500,6,54
"(6, 55)",17200,6,55
"(6, 57)",6800,6,57
"(6, 58)",12900,6,58
"(6, 59)",16700,6,59
"(6, 60)",10000,6,60
"(6, 61)",47900,6,61
"(7, 16)",17500,7,16
"(7, 20)",30000,7,20
"(7, 22)",17000,7,22
"(7, 26)",18000,7,26
"(7, 30)",27000,7,30
"(7, 32)",20500,7,32
"(7, 34)",27500,7,34
"(7, 36)",29500,7,36
"(7, 39)",10500,7,39
"(7, 43)",20000,7,43
"(7, 45)",35000,7,45
"(7, 46)",20000,7,46
"(7, 47)",40000,7,47
"(7, 48)",16500,7,48
"(7, 49)",17000,7,49
"(7, 50)",14500,7,50
"(7, 51)",11500,7,51
"(7, 53)",13000,7,53
"(7, 54)",10000,7,54
"(7, 55)",9600,7,55
"(7, 57)",8400,7,57
"(7, 58)",7400,7,58
"(7, 59)",8100,7,59
"(7, 60)",54300,7,60
"(8, 20)",28500,8,20
"(8, 24)",5900,8,24
"(8, 28)",31000,8,28
"(8, 31)",9900,8,31
"(8, 33)",10500,8,33
"(8, 37)",26500,8,37
"(8, 42)",16500,8,42
"(8, 44)",291500,8,44
"(8, 45)",28000,8,45
"(8, 46)",9000,8,46
"(8, 47)",47000,8,47
"(8, 49)",4100,8,49
"(8, 50)",6900,8,50
"(8, 51)",49500,8,51
"(8, 52)",14000,8,52
"(8, 53)",5500,8,53
"(8, 54)",24000,8,54
"(8, 55)",8600,8,55
"(8, 58)",5000,8,58
"(8, 59)",50800,8,59
"(9, 12)",17000,9,12
"(9, 35)",7100,9,35
"(9, 39)",13000,9,39
"(9, 42)",27000,9,42
"(9, 43)",303500,9,43
"(9, 44)",28000,9,44
"(9, 45)",46500,9,45
"(9, 46)",70500,9,46
"(9, 47)",155500,9,47
"(9, 48)",39500,9,48
"(9, 49)",43100,9,49
"(9, 50)",41500,9,50
"(9, 51)",79500,9,51
"(9, 52)",15000,9,52
"(9, 53)",31100,9,53
"(9, 54)",35000,9,54
"(9, 55)",23900,9,55
"(9, 56)",6400,9,56
"(9, 57)",18000,9,57
"(9, 58)",22500,9,58
"(9, 59)",45000,9,59
"(9, 61)",4800,9,61
"(9, 64)",5100,9,64
"(9, 65)",0,9,65
"(10, 16)",13500,10,16
"(10, 18)",41000,10,18
"(10, 22)",4700,10,22
"(10, 28)",78500,10,28
"(10, 31)",10500,10,31
"(10, 35)",108000,10,35
"(10, 37)",27500,10,37
"(10, 42)",20000,10,42
"(10, 43)",287000,10,43
"(10, 44)",62500,10,44
"(10, 45)",190000,10,45
"(10, 46)",160000,10,46
"(10, 47)",197000,10,47
"(10, 48)",66000,10,48
"(10, 49)",33900,10,49
"(10, 50)",36100,10,50
"(10, 51)",106200,10,51
"(10, 52)",29500,10,52
