F2040,lon,lat
24500,-111.8868034,40.75631125
10500,-111.8910956,40.75521003
41500,-111.889665,40.75630995
33000,-111.8939604,40.75520839
41000,-111.8925289,40.7563081
47500,-111.8953904,40.75630666
25000,-111.899679,40.7552017
47500,-111.8982495,40.75630389
62500,-111.9071239,40.75611074
9700,-111.8453526,40.75462977
30500,-111.8405476,40.75831133
23000,-111.8538998,40.75414917
31500,-111.8496351,40.75849801
600,-111.8595767,40.75523034
29500,-111.8600218,40.7591346
14500,-111.8653432,40.75740611
48500,-111.8710711,40.75740355
6400,-111.8682071,40.75849152
10500,-111.8767898,40.75740304
15000,-111.8739303,40.75849123
4800,-111.8825085,40.75740089
18500,-111.8796495,40.75848826
18000,-111.8853746,40.75739921
19000,-111.8839422,40.75848618
41000,-111.8882342,40.75739975
19000,-111.8868051,40.75848723
11500,-111.8910975,40.75739569
29000,-111.8896667,40.75848548
34000,-111.8939615,40.75739607
31000,-111.8925301,40.75848364
13000,-111.8968204,40.75739235
41500,-111.8953917,40.75848174
35500,-111.8996799,40.75739171
37000,-111.898251,40.75847979
42000,-111.9076436,40.75822122
9900,-111.9721317,40.74500498
10500,-111.9577955,40.75844534
20000,-111.8452199,40.75911231
19500,-111.8538967,40.75957953
16500,-111.8531293,40.76066678
14500,-111.8653433,40.7595794
48000,-111.8710709,40.75957685
29500,-111.8682075,40.76066497
10500,-111.8767897,40.75957408
24500,-111.8739303,40.76066302
4300,-111.8825101,40.75957417
24500,-111.8796503,40.76066145
7000,-111.8485579,40.76057109
18000,-111.8853753,40.75957204
24000,-111.8839432,40.76065979
38500,-111.8882358,40.75957303
24500,-111.8868061,40.76065827
10500,-111.8910998,40.75956852
35000,-111.889669,40.7606563
34500,-111.8939622,40.7595689
34000,-111.8925319,40.76065376
13000,-111.8968221,40.75956743
34000,-111.8953925,40.76065457
32000,-111.8996808,40.75956545
40500,-111.8982518,40.76065267
287000,-111.9112012,40.75423041
253000,-111.9131942,40.75852373
39500,-111.9054146,40.76064875
39000,-111.9154462,40.760643
20000,-111.916834,40.75629023
9600,-111.828377,40.75974172
17000,-111.831842,40.75646747
27500,-111.939024,40.75594743
17000,-111.9279353,40.76063522
11000,-111.9414052,40.76002091
13500,-111.8401318,40.76035589
24000,-111.8351555,40.75976542
16000,-111.9168392,40.76281715
15500,-111.8653433,40.76391199
44500,-111.8710709,40.76176531
12000,-111.8682078,40.76501321
9600,-111.8767914,40.76175582
14000,-111.8739328,40.76501116
6600,-111.8825122,40.7617486
22000,-111.8796543,40.76501119
18500,-111.8853773,40.76391996
22000,-111.8839463,40.76500787
33500,-111.888238,40.76391386
22500,-111.8868082,40.76500854
10000,-111.8911046,40.76390505
21500,-111.8896719,40.7650072
32000,-111.8939638,40.76390781
20000,-111.892535,40.76500482
12500,-111.8968236,40.76390586
19500,-111.8953946,40.76500519
18500,-111.8996829,40.76390605
19000,-111.8982541,40.76500323
4400,-111.9011136,40.76500166
4500,-111.9054179,40.76500143
4200,-111.9125671,40.76499653
3600,-111.9429488,40.76309259
32500,-111.9390862,40.76337659
6800,-111.9280378,40.76508514
136000,-111.9684533,40.76466441
107000,-111.9320128,40.76514888
7500,-111.8538925,40.76610563
18500,-111.8538955,40.7617496
21500,-111.849828,40.76703075
18500,-111.8531233,40.76717305
3000,-111.8596077,40.76284113
16000,-111.859618,40.76718698
12000,-111.865344,40.76609972
31000,-111.8710716,40.76609941
16500,-111.8682082,40.76718556
8900,-111.8767943,40.76609932
14500,-111.8739335,40.76718625
6100,-111.8825155,40.76609534
15500,-111.8796557,40.76718376
7900,-111.8853784,40.76609594
15500,-111.8839479,40.76718339
32000,-111.8882391,40.76609377
15500,-111.8868093,40.76718126
9700,-111.8911052,40.76609239
16000,-111.8896725,40.76718094
28500,-111.893966,40.76609279
16000,-111.8925363,40.76718019
35500,-111.836379,40.76502952
6800,-111.8539431,40.76827172
11500,-111.8531472,40.7693602
3000,-111.859587,40.76827279
17500,-111.8596416,40.76935931
9600,-111.8653443,40.76827345
30500,-111.871072,40.76827135
20500,-111.8682081,40.76935782
31000,-111.8739341,40.76935772
9100,-111.8767952,40.7682726
28000,-111.8794272,40.76935656
5200,-111.8825179,40.76826861
28000,-111.8837195,40.76935474
7900,-111.8853789,40.76826921
33000,-111.8882404,40.76826705
28000,-111.8868109,40.76935498
8800,-111.891107,40.76826612
15000,-111.8896748,40.76935366
29500,-111.8939679,40.76826651
13500,-111.8925387,40.76935391
14000,-111.8968257,40.76717867
12500,-111.8953978,40.76935218
21000,-111.8996851,40.76717668
12000,-111.8982564,40.76935204
16000,-111.9025441,40.76717507
